dataset,variant,local_layers,global_layers,probe_branch,message_depth,fold,directed_distance,expected_reachable,source_cell_id,target_cell_id,pair_drug_id,label,source_input_change,target_branch_change,baseline_logit,perturbed_logit,absolute_logit_change,signed_logit_change,source_nonzero,control_cell_id,control_target_branch_change,control_absolute_logit_change,control_nonzero
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000103,ACH-000267,10077147,1,5.147767543792725,0.00017952384951058775,1.1571712493896484,1.1571732759475708,2.0265579223632812e-06,-2.0265579223632812e-06,1,ACH-000020,2.326277353859041e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000105,ACH-000245,10027278,1,11.523119926452637,0.000775396591052413,8.920595169067383,8.920568466186523,2.6702880859375e-05,2.6702880859375e-05,1,ACH-000023,2.2431547677115304e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000111,ACH-000548,10027278,1,4.493552207946777,0.0002920109254773706,5.690536022186279,5.690514087677002,2.193450927734375e-05,2.193450927734375e-05,1,ACH-000024,1.5960233668010915e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000113,ACH-000004,10074640,1,9.02253532409668,0.0011100355768576264,4.060207843780518,4.059886455535889,0.00032138824462890625,0.00032138824462890625,1,ACH-000050,1.925789547385648e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000132,ACH-000579,10172943,1,9.657723426818848,0.0015985588543117046,0.5042343139648438,0.5036395788192749,0.0005947351455688477,0.0005947351455688477,1,ACH-000038,2.6097620775544783e-06,2.980232238769531e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000136,ACH-000806,10027278,1,5.620643615722656,0.0006144233047962189,2.8886075019836426,2.888556480407715,5.1021575927734375e-05,5.1021575927734375e-05,1,ACH-000046,2.2884553345647873e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000138,ACH-000249,10127622,1,4.406802654266357,0.0016118042403832078,1.609410285949707,1.6087846755981445,0.0006256103515625,0.0006256103515625,1,ACH-000050,1.8098978671332588e-06,3.5762786865234375e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000153,ACH-000563,11338033,1,9.04867935180664,8.142147271428257e-05,1.798828125,1.7988356351852417,7.510185241699219e-06,-7.510185241699219e-06,1,ACH-000056,2.291154942213325e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000153,ACH-000775,10368812,1,9.04867935180664,0.000379344099201262,1.6682400703430176,1.6682419776916504,1.9073486328125e-06,-1.9073486328125e-06,1,ACH-000050,2.728390427364502e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000159,ACH-000186,104842,1,3.4577207565307617,0.0004520612128544599,-1.3157540559768677,-1.3158884048461914,0.00013434886932373047,0.00013434886932373047,1,ACH-000056,1.6791705093055498e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000161,ACH-000881,11647372,1,3.1581828594207764,0.00013266965106595308,4.704373359680176,4.704381465911865,8.106231689453125e-06,-8.106231689453125e-06,1,ACH-000062,2.0511774891929235e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000171,ACH-000876,13342,1,8.818634986877441,0.002154131419956684,0.17607101798057556,0.17604047060012817,3.0547380447387695e-05,3.0547380447387695e-05,1,ACH-000061,2.023378783633234e-06,8.940696716308594e-08,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000191,ACH-000504,10368812,1,8.036620140075684,0.0008607368799857795,2.7800910472869873,2.7799904346466064,0.00010061264038085938,0.00010061264038085938,1,ACH-000062,2.3459872409148375e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000210,ACH-000867,10109823,1,7.29124641418457,0.001489350339397788,-0.13861161470413208,-0.13870307803153992,9.146332740783691e-05,9.146332740783691e-05,1,ACH-000073,1.6496306898261537e-06,8.940696716308594e-08,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000218,ACH-000002,104842,1,2.5689618587493896,8.774764137342572e-05,6.974030494689941,6.974027156829834,3.337860107421875e-06,3.337860107421875e-06,1,ACH-000092,1.422133550477156e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000221,ACH-000754,10027278,1,3.45644211769104,0.00015467456250917166,1.3134163618087769,1.3134160041809082,3.5762786865234375e-07,3.5762786865234375e-07,1,ACH-000073,1.6269160596493748e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000222,ACH-000860,10127622,1,12.721416473388672,0.0012825613375753164,1.831912875175476,1.8316110372543335,0.0003018379211425781,0.0003018379211425781,1,ACH-000073,2.785929382298491e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000236,ACH-000200,10109823,1,4.432301998138428,0.001365290372632444,0.5697617530822754,0.569703221321106,5.8531761169433594e-05,5.8531761169433594e-05,1,ACH-000081,2.446047346893465e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000243,ACH-000906,10027278,1,5.898244857788086,0.000907383335288614,2.1329760551452637,2.1328225135803223,0.00015354156494140625,0.00015354156494140625,1,ACH-000087,1.780447405508312e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000257,ACH-000744,10127622,1,14.262917518615723,0.00636897562071681,0.8723208904266357,0.8743388652801514,0.002017974853515625,-0.002017974853515625,1,ACH-000078,2.223103365395218e-06,5.960464477539063e-08,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000264,ACH-000847,10077147,1,3.343090772628784,0.0004791370593011379,3.993856430053711,3.9938173294067383,3.910064697265625e-05,3.910064697265625e-05,1,ACH-000081,2.098970526276389e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000264,ACH-000906,10027278,1,3.343090772628784,0.000523993163369596,2.1329760551452637,2.1328272819519043,0.000148773193359375,0.000148773193359375,1,ACH-000103,1.978390628210036e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000267,ACH-000113,10077147,1,4.865940570831299,0.00044667860493063927,1.4398574829101562,1.439931869506836,7.43865966796875e-05,-7.43865966796875e-05,1,ACH-000115,1.9723909190361155e-06,1.1920928955078125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000305,ACH-000787,10172943,1,10.33901596069336,0.00028453220147639513,5.945789813995361,5.945789813995361,0.0,0.0,1,ACH-000094,1.994344074773835e-06,0.0,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000309,ACH-000855,11175137,1,4.836656093597412,0.0002525931049603969,-0.1731666624546051,-0.17317205667495728,5.3942203521728516e-06,5.3942203521728516e-06,1,ACH-000096,2.86829208562267e-06,5.960464477539063e-08,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000318,ACH-000002,104842,1,6.645762920379639,0.00011440295202191919,6.974030494689941,6.974025726318359,4.76837158203125e-06,4.76837158203125e-06,1,ACH-000121,1.9795093066932168e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000318,ACH-000070,10077147,1,6.645762920379639,0.00014810120046604425,5.7863616943359375,5.786357402801514,4.291534423828125e-06,4.291534423828125e-06,1,ACH-000111,1.3559621265812893e-06,4.76837158203125e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000351,ACH-000464,10027278,1,3.1756978034973145,0.0002431682078167796,2.7542128562927246,2.7542452812194824,3.24249267578125e-05,-3.24249267578125e-05,1,ACH-000105,1.888145334305591e-06,2.384185791015625e-07,1
dataset-2,hgt_2_only,0,2,hgt_only,2,4,2,1,ACH-000359,ACH-000290,104842,1,8.730706214904785,0.0012874751118943095,2.630654811859131,2.630518913269043,0.00013589859008789062,0.00013589859008789062,1,ACH-000105,2.0451714135560906e-06,0.0,1
